Time[s], Channel 0, Channel 1
0.35684920, 1, 1
0.35685424, 0, 1
0.35685676, 0, 0
0.35685928, 1, 0
0.35686432, 0, 0
0.35686936, 1, 0
0.35687440, 0, 0
0.35687944, 1, 0
0.35688036, 1, 1
0.35688448, 0, 1
0.35688952, 1, 1
0.35689456, 0, 1
0.35689960, 1, 1
0.35690464, 0, 1
0.35690968, 1, 1
0.35691472, 0, 1
0.35691976, 1, 1
0.35692480, 0, 1
0.35692984, 1, 1
0.35693488, 0, 1
0.35693992, 1, 1
0.35694496, 0, 1
0.35694748, 0, 0
0.35695000, 1, 0
0.35695504, 0, 0
0.35695526, 0, 1
0.35696008, 1, 1
0.35696512, 0, 1
0.35697016, 1, 1
0.35697520, 0, 1
0.35698024, 1, 1
0.35698528, 0, 1
0.35699032, 1, 1
0.35699536, 0, 1
0.35700040, 1, 1
0.35700544, 0, 1
0.35701048, 1, 1
0.35701552, 0, 1
0.35702056, 1, 1
0.35702560, 0, 1
0.35703064, 1, 1
0.35703568, 0, 1
0.35703820, 0, 0
0.35704072, 1, 0
0.35704576, 0, 0
0.35704600, 0, 1
0.35705080, 1, 1
0.35705584, 0, 1
0.35706088, 1, 1
0.35706592, 0, 1
0.35707096, 1, 1
0.35707600, 0, 1
0.35708104, 1, 1
0.35708608, 0, 1
0.35709112, 1, 1
0.35709616, 0, 1
0.35710120, 1, 1
0.35710624, 0, 1
0.35711128, 1, 1
0.35711632, 0, 1
0.35712136, 1, 1
0.35712640, 0, 1
0.35712892, 0, 0
0.35713144, 1, 0
0.35713648, 0, 0
0.35713672, 0, 1
0.35714152, 1, 1
0.35714656, 0, 1
0.35715160, 1, 1
0.35715664, 0, 1
0.35716168, 1, 1
0.35716672, 0, 1
0.35717176, 1, 1
0.35717680, 0, 1
0.35718184, 1, 1
0.35718688, 0, 1
0.35719192, 1, 1
0.35719696, 0, 1
0.35720200, 1, 1
0.35720704, 0, 1
0.35721208, 1, 1
0.35721712, 0, 1
0.35721964, 0, 0
0.35722216, 1, 0
0.35722720, 0, 0
0.35722744, 0, 1
0.35723224, 1, 1
0.35723728, 0, 1
0.35724232, 1, 1
0.35724736, 0, 1
0.35725240, 1, 1
0.35725744, 0, 1
0.35726248, 1, 1
0.35726752, 0, 1
0.35727256, 1, 1
0.35727760, 0, 1
0.35728264, 1, 1
0.35728768, 0, 1
0.35729272, 1, 1
0.35729776, 0, 1
0.35730280, 1, 1
0.35730784, 0, 1
0.35731036, 0, 0
0.35731288, 1, 0
0.35731792, 0, 0
0.35731816, 0, 1
0.35732296, 1, 1
0.35732800, 0, 1
0.35733304, 1, 1
0.35733808, 0, 1
0.35734312, 1, 1
0.35734816, 0, 1
0.35735320, 1, 1
0.35735824, 0, 1
0.35736328, 1, 1
0.35736832, 0, 1
0.35737336, 1, 1
0.35737840, 0, 1
0.35738344, 1, 1
0.35738848, 0, 1
0.35739352, 1, 1
0.35739856, 0, 1
0.35740362, 1, 1
0.35740864, 0, 1
0.35741116, 0, 0
0.35741368, 1, 0
0.35741620, 1, 1
0.35741872, 0, 1
0.36892782, 1, 1
0.36893032, 1, 0
0.36893284, 0, 0
0.36893538, 0, 1
0.36893790, 1, 1
0.36894292, 0, 1
0.36894544, 0, 0
0.36894798, 1, 0
0.36895300, 0, 0
0.36895554, 0, 1
0.36895806, 1, 1
0.36896308, 0, 1
0.36896560, 0, 0
0.36896814, 1, 0
0.36897316, 0, 0
0.36897822, 1, 0
0.36898326, 0, 0
0.36898578, 0, 1
0.36898830, 1, 1
0.36899334, 0, 1
0.36899586, 0, 0
0.36899838, 1, 0
0.36900342, 0, 0
0.36900846, 1, 0
0.36901350, 0, 0
0.36901854, 1, 0
0.36902358, 0, 0
0.36902862, 1, 0
0.36903366, 0, 0
0.36903870, 1, 0
0.36904374, 0, 0
0.36904878, 1, 0
0.36905382, 0, 0
0.36905886, 1, 0
0.36906390, 0, 0
0.36906894, 1, 0
0.36907398, 0, 0
0.36907902, 1, 0
0.36908406, 0, 0
0.36908910, 1, 0
0.36909414, 0, 0
0.36909918, 1, 0
0.36910422, 0, 0
0.36910926, 1, 0
0.36911430, 0, 0
0.36911490, 0, 1
0.36911682, 0, 0
0.36911934, 1, 0
0.36912186, 1, 1
0.36912438, 0, 1
0.36976446, 1, 1
0.36976698, 1, 0
0.36976950, 0, 0
0.36977202, 0, 1
0.36977454, 1, 1
0.36977958, 0, 1
0.36978210, 0, 0
0.36978462, 1, 0
0.36978966, 0, 0
0.36979218, 0, 1
0.36979470, 1, 1
0.36979974, 0, 1
0.36980226, 0, 0
0.36980478, 1, 0
0.36980982, 0, 0
0.36981486, 1, 0
0.36981990, 0, 0
0.36982242, 0, 1
0.36982496, 1, 1
0.36982998, 0, 1
0.36983250, 0, 0
0.36983504, 1, 0
0.36984006, 0, 0
0.36984258, 0, 1
0.36984512, 1, 1
0.36985014, 0, 1
0.36985266, 0, 0
0.36985520, 1, 0
0.36986022, 0, 0
0.36986530, 1, 0
0.36987030, 0, 0
0.36987538, 1, 0
0.36987562, 1, 1
0.36988038, 0, 1
0.36988544, 1, 1
0.36989048, 0, 1
0.36989552, 1, 1
0.36990056, 0, 1
0.36990560, 1, 1
0.36991064, 0, 1
0.36991568, 1, 1
0.36992072, 0, 1
0.36992576, 1, 1
0.36993080, 0, 1
0.36993584, 1, 1
0.36994088, 0, 1
0.36994338, 0, 0
0.36994592, 1, 0
0.36995096, 0, 0
0.36995118, 0, 1
0.36995600, 1, 1
0.36996104, 0, 1
0.36996608, 1, 1
0.36997112, 0, 1
0.36997616, 1, 1
0.36998120, 0, 1
0.36998624, 1, 1
0.36999128, 0, 1
